AT-F50B6B3	10030	1G4NV54U5MM263922	used	Buick Skylark Sedan	1991	\N	$788 	Sedan	Four Door	4 Cylinder Gasoline	Gasoline	Burgundy	Burgundy	95,873 	\N	2 wheel drive - front	3 Speed Automatic	60 cars under $6000. Buy here pay here financing. Se habla espanol. The home of the best cars for the best money. - - -  1991   buick   skylark   4dr sdn    - - -  power windows  power door locks  tilt wheel  am/fm stereo  air conditioning. View more details.
AT-F877EC5	9074A	1G1LT54G2LE209541	used	Chevrolet Corsica LT Sedan	1990	\N	$788 	Sedan	Four Door	4 Cylinder Gasoline	Gasoline	\N	\N	Unlisted 	\N	2 wheel drive - front	\N	Perfect zoomer, or commuter car, it's hard to believe but it was a owner local trade perfect history report. In order to keep the cost down to you we elected to not take a picture of this one, and besides that it's not mutch to look at, bu. View more details.
AT-F60252C	14666	1FABP55U4JG203968	used	Ford Taurus L Wagon	1988	\N	$900 	Wagon	Four Door	6 Cylinder Gasoline	Gasoline	Red	Red	Unlisted 	\N	2 wheel drive - front	3 Speed Automatic	Triple extra ugly inside and out!!!!!  but for that price who cares?????  hurry!!!.
AT-F90C13A	14961	1FAFP13P4WW155425	used	Ford Escort SE	1998	\N	$900 	Sedan	Four Door	4 Cylinder Gasoline	Gasoline	Red	Gra	Unlisted 	\N	2 wheel drive - front	\N	Tow away!!!  no e-test. In the right hands it could be a diamond again. Make us an offer!!!!!!.
AT-F814850	14887A	JT8VV22T1M0141237	used	Lexus ES250	1991	\N	$990 	Sedan	Four Door	6 Cylinder Gasoline	Gasoline	Blu	Blu	Unlisted 	\N	2 wheel drive - front	\N	Looks ok but will not pass emissions. In the right hands it could be a diamond again!!!!  tow away only.
AT-F903305	FL915A	4C3AU42N8VE071128	used	Chrysler Sebring LX	1997	\N	$1,495 	Coupe	Two Door	6 Cylinder Gasoline	Gasoline	Teal	Black	164,095 	\N	2 wheel drive - front	Manual	Why pay retail? - cash price only + taxes.
AT-E52B149	13438R	1GKEK18K3RJ722960	used	GMC Yukon 4x4	1994	\N	$1,500 	Sport Utility	Two Door	8 Cylinder Gasoline	Gasoline	Whi	Gra	Unlisted 	\N	4 wheel drive - rear	\N	Super rough condition inside and out. Runs though, and in the right hands could be a diamond again.
AT-F6F2D56	C837	4T1SV24EXLU245179	used	Toyota Camry	1990	\N	$1,599 Reduced 	Sedan	Four Door	I4 2L DOHC	Gasoline	Red	Gray	195,664 	\N	2 wheel drive - front	5 Speed Manual	Installed features: remote trunk release, power brakes, power steering, 14 inch wheels, rear window defroster, bucket seats, cloth seats.
AT-F88DFE0	BV1463	2FMDA5141TBA90044	used	Ford Windstar LX	1996	\N	$1,695 	Van	Three Door	6 Cylinder Gasoline	Gasoline	Green	Tan	172,732 	AM/FM Stereo Tape	2 wheel drive - front	4 Speed Automatic with Overdrive	*** zero down w/app credit**spec. Financing avail*** 3. 8l v6- 1996 ford windstar van rwd. This is great looking inside and out - certainly looks to have been well taken care of. We've persoanlly driven it 75 plus miles and it handles good down. View more details.
AT-F883FDD	P7227B	1FALP54P9PA194390	used	Ford Taurus SHO Sedan	1993	\N	$1,799 	Sedan	Four Door	6 Cylinder Gasoline	Gasoline	Deep Jewell Green	Tan	159,343 	\N	2 wheel drive - front	Automatic	Very clean - power drivers seat, leather upholstry, power sunroof, and more. Hurry *exclusive internet offer, get an additional $500. 00 off your next vehicle purchase by making a confirmed test drive appointment with our certified internet team. View more details.
AT-F28F26A	057013	1JCHL7742GT057013	used	Jeep Cherokee Laredo 4x4	1986	\N	$1,888 	Sport Utility	Two Door	4 Cylinder Gasoline	Gasoline	Gold	Gold	287,048 	\N	4 wheel drive - rear	5 Speed Manual	See our full inventory at www. Springsautomotivegroup. Com. This jeep is 4x4 and will get you where you need safely and without breaking the bank to purchase it. It comes wtih a 2. 8 liter, 6 cyl engine that will help you get though any snow or m. View more details.
AT-F814857	14878	JT5ST07K9S0022925	used	Toyota Celica GT Convertible	1995	\N	$1,900 	Convertible	Two Door	4 Cylinder Gasoline	Gasoline	Whi	Blu	Unlisted 	\N	2 wheel drive - front	\N	Wow!!!!!  tripple extra nice condition inside and out. 4cyl 5 speed. Convertable. Looks and drives good. Will not last long. Please hurry!!!!!.
AT-F966198	5912	1FALP54Y8RA202460	used	Ford Taurus SHO Sedan	1994	\N	$1,988 	Sedan	Four Door	6 Cylinder Gasoline	Gasoline	White	Tan	127,640 	\N	2 wheel drive - front	Manual	,fwd,power brakes,air bag(s),anti-theft security system.
AT-F83681D	B19538	1FTJS34Y7THA88261	used	Ford E-350 and Econoline 350 Ext Super Duty Cargo Van	1996	\N	$1,988 	Van	\N	6 Cylinder Gasoline	Gasoline	White	\N	163,016 	\N	2 wheel drive - rear	3 Speed Automatic	Colorado's oldest and largest truck and van dealer. Family owned and operated and have been doing business in the same location for over 30 years. Specalizing only with trucks, vans, suv's and cargo vans. Call 866-514-2726 and ask for hoke. View more details.
AT-F68AC50	e70320	1FMDU34X9RUE70320	used	Ford Explorer 4x4 4 Door	1994	\N	$1,995 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Red	Gray	149,060 	\N	4 wheel drive - rear	Manual	Mechanics special! needs clutch!.
AT-EBED4FF	C602	1G6EL12B7PU605852	used	Cadillac Eldorado Coupe	1993	\N	$1,999 	Coupe	Two Door	8 Cylinder Gasoline	Gasoline	White	Red	170,869 	AM/FM Stereo Tape	2 wheel drive - front	4 Speed Automatic with Overdrive	Mechanics special - heater does not work but runs great. Stop in or call now 1-866-611-4754 or www. Charliesautos. Com. Come and shop at charlie's ~ we promise you won't be disappointed!  we have the car you need! most of our inventory is pri. View more details.
AT-F914F27	FL1176B	1GCDG15H0SF128935	used	Chevrolet G Van G10	1995	\N	$1,999 	Van	\N	8 Cylinder Gasoline	Gasoline	White	Other	205,046 	\N	2 wheel drive - rear	4 Speed Automatic with Electronic Overdrive	Why pay retail? - cash price only + taxes.
AT-F9456A1	FL1147A	1HGCE1895RA010023	used	Honda Accord EX	1994	\N	$1,999 	Wagon	Four Door	4 Cylinder Gasoline	Gasoline	Gold	Other	192,594 	\N	2 wheel drive - front	Automatic	Why pay retail? - cash price only + taxes.
AT-F854392	AL091A	2FTDF15E1CCA18692	used	Ford F150 2WD Regular Cab	1982	\N	$1,999 	Truck	Two Door	6 Cylinder Gasoline	Gasoline	Black	Other	74,772 	\N	2 wheel drive - rear	\N	Why pay retail? - cash price only + taxes.
AT-F91E5EE	S3138	1G8ZG1272TZ195600	used	Saturn SC2	1996	\N	$2,488 	Coupe	Two Door	4 Cylinder Gasoline	Gasoline	White	Black	212,536 	\N	2 wheel drive - front	Manual	Abs (4-wheel),air conditioning,alloy wheels,am / fm radio,cd player,cruise control,driver air bag,dual front air bags,power door locks,power mirrors,power steering,power windows,privacy glass (tint),rear defrost,tilt wheel,trip computer,95\% tire t. View more details.
AT-F7B2379	0446	1MEFM53UXXA615751	used	Mercury Sable LS	1999	\N	$2,489 	Sedan	Four Door	6 Cylinder Gasoline	Gasoline	Blue	Gray	143,724 	\N	2 wheel drive - front	4 Speed Automatic with Overdrive	For full inventory and to apply online please visit www. Abbaautoinc. Com.
AT-F675FA7	218303	4S3BD6551S7218303	used	Subaru Legacy LS AWD Sedan	1995	\N	$2,495 	Sedan	Four Door	4 Cylinder Gasoline	Gasoline	White	Tan	141,008 	\N	All wheel drive	4 Speed Automatic with Electronic Overdrive	Just in today!.
AT-EF0557F	13655	2B7GH1137RR649786	used	Dodge Caravan	1994	\N	$2,495 	Van	\N	6 Cylinder Gasoline	Gasoline	White	Gra	Unlisted 	\N	2 wheel drive - front	3 Speed Automatic	6cyl auto cargo van with racks!!!!!!!  looks and drives good. Will give you better economy than a big van or truck. Has over head roof racks as well with amber flasher!!!!  this one is ready for work!!!  please hurry will not last long!!!!!.
