AT-F4CCF9B	\N	\N	used	Toyota Supra Turbo Sport Roof	1994	\N	$19,500 	Coupe	Two Door	6 Cylinder	Gasoline	Red	Tan	164,000 	\N	2 wheel drive	Automatic	1994 toyota supra, red, tan leather interior, targa top, 164k on chassis. Clean car fax. 100 miles on motor and tranny!!!!  engine is built with cp. 020 race pistons, crower h-beam rods, blue printed and balanced,  arp head studs, aem engine mana. Read more.
AT-F7A395B	8139	3GYFK66N84G127021	used	Cadillac Escalade ESV AWD	2004	\N	$19,500 	Sport Utility	Four Door	8 Cylinder Gasoline	Gasoline	Black	\N	68,128 	\N	All wheel drive	4 Speed Automatic with Electronic Overdrive	
AT-F8DA86C	\N	\N	used	Nissan Altima 3.5 SE	2008	\N	$19,500 	Sedan	Four Door	6 Cylinder	Gasoline	Charcoal	Charcoal	11,000 	\N	2 wheel drive	Automatic	2008 nissan altima 3. 5 se. Dark slate exterior, charcoal interior. 11k miles, perfect condition, always garaged. Well maintained service records. Cvt transmission, 3. 5 engine, alloy wheels, push button start, keyless entry. Lots of extras. This is. Read more.
AT-F75501F	AP6A173344	WAUDF78E56A173344	used	Audi A4 2.0T quattro	2006	\N	$19,510 	Sedan	Four Door	4 Cylinder Turbo	Gasoline	Brilliant Red	Other	46,062 	\N	All wheel drive	6 Speed Manual	This 2006 audi a4 2. 0t awd sedan features a 2. 0l l4 dir dohc turbo 4cyl unknown engine. It is equipped with a 6 speed manual transmission. The vehicle is brilliant red with a other interior. It is offered with the remaining factory warranty. Air c. View more details.
AT-F95A6F3	90161	1FTNW21P83ED06799	used	Ford F250 Lariat	2003	\N	$19,543 	Truck	Four Door	8 Cylinder Diesel Tur	Diesel	Oxford White	Medium Parchment	52,130 	\N	4 wheel drive - rear	Automatic	Air conditioning,power adjustable pedals,power steering,power brakes,power door locks,power windows,clock,tachometer,tilt steering wheel,cruise control,power passenger seat,chrome bumper(s),trip computer,fog lamps,trailer towing hitch,power driver. View more details.
AT-F8D3438	10471	1D4HB58D35F625646	used	Dodge Durango 4x4 Limited	2005	\N	$19,550 	Sport Utility	Four Door	8 Cylinder Gasoline	Gasoline	Black	*Not Listed	27,968 	\N	4 wheel drive - rear	Automatic	This one of over 200 fully reconditioned vehicles in our huge inventory. Please feel free to browse all of our vehicles at www. Coloradospringsdodge. Net. Where nobody beats a dealin doug deal. Nobody. For more information or to schedule a test driv. View more details.
AT-F9057B8	UP1293A	2FMDK48C88BA04739	used	Ford Edge SEL	2008	\N	$19,555 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Blazing Copper Metallic	\N	29,785 	\N	All wheel drive	6 Speed Automatic	Electronic stability control, brake assist, auxiliary audio input, driver air bag, passenger air bag, passenger air bag on/off switch, side air bag, rear body air bag, side head air bag, rear head air bag, a/c, am/fm stereo, cd changer, cd player,. View more details.
AT-F50B19F	IW9002	YV1RH592X62518383	used	Volvo S60 2.5T AWD	2006	\N	$19,580 	Sedan	Four Door	5 Cylinder Turbo	Gasoline	Obsidian Black	Charcoal	19,000 	AM/FM Compact Disc Playr	All wheel drive	Automatic	Rare awd sedan!! colorado's largest selection of volvo's at the lowest prices (we have over 30 volvo's to choose from - warranties available)!! this is a one owner s60 with options such as: 16" multi spoke wheels, leather package,. View more details.
AT-F7A400C	P9431	1D7HU18D65J558950	used	Dodge Ram 1500 Truck SLT	2005	\N	$19,583 	Truck	Four Door	8 Cylinder Gasoline	Gasoline	Bright White	Taupe	28,176 	\N	4 wheel drive - rear	Automatic	Wow! hard to find quad cab-long box slt w/hemi power! this all power options carfax one owner is still under factory warranty and includes a certified 6yr/80k powertrain warranty at no add'l cost! perfect for work-perfect for family-perfect fo. View more details.
AT-F295FAC	\N	\N	used	Nissan Murano SL AWD	2005	\N	$19,595 	Sport Utility	Four Door	6 Cylinder	Gasoline	White	Beige	54,000 	\N	All wheel drive	Automatic	Navagation system, fully loaded, highway miles, new tires, non-smoker,  leather heated seats, power everything,  very clean interior, looks, runs  drives great, very well maintained, bose stereo system, high intensity discharge headlights are. Read more.
